索引	类别	原始问	英语	分词
21	disability-insurance	短期残疾保险是否工作？	Does  Short  Term  Disability  Insurance  Work?	短期 残疾 保险 是否 工作
22	home-insurance	房主保险盖池？	Will  Homeowners  Insurance  Cover  Pool?	房主 保险 盖池
23	medicare-insurance	什么时候要注册医疗保险？	When  Do  I  Have  To  Sign  Up  For  Medicare?	什么 时候 要 注册 医疗保险
24	auto-insurance	MIP会影响我的汽车保险吗？	Will  An  MIP  Affect  My  Car  Insurance?	MIP 会 影响 我 汽车保险
25	life-insurance	蓝十字蓝盾有人寿保险吗？	Does  Blue  Cross  Blue  Shield  Have  Life  Insurance?	蓝 十字 蓝盾 有 人寿保险
26	long-term-care-insurance	长期护理保险的优点和缺点是什么？	What  Are  The  Advantages  And  Disadvantages  To  Long  Term  Care  Insurance?	长期 护理 保险 优点 和 缺点 是 什么
27	medicare-insurance	医疗保险支付生命预警？	Will  Medicare  Pay  For  Life  Alert?	医疗保险 支付 生命 预警
28	life-insurance	我应该买哪种人寿？	Which  Life  Insurance  Should  I  Buy?	我 应该 买 哪种 人寿
29	medicare-insurance	医疗保险支付HPV筛查吗？	Does  Medicare  Pay  For  HPV  Screening?	医疗保险 支付 HPV 筛查
30	life-insurance	哪个是最好的人寿保险？	Which  Is  The  Best  Life  Insurance  To  Get?	哪个 是 最好 人寿保险
31	long-term-care-insurance	长期护理保险费用多少？	How  Much  Should  Long  Term  Care  Insurance  Cost?	长期 护理 保险费用 多少
32	annuities	固定年金如何安全？	How  Safe  Are  Fixed  Annuities?	固定 年金 如何 安全
33	life-insurance	要解决人寿保险索赔需要多长时间？	How  Long  Does  It  Take  To  Settle  A  Life  Insurance  Claim?	要 解决 人寿保险 索赔 需要 多长时间
34	auto-insurance	是否检查汽车保险信贷？	Is  Car  Insurance  Credit  Checked?	是否 检查 汽车保险 信贷
35	long-term-care-insurance	我可以使用HSA支付长期护理保险吗？	Can  I  Use  HSA  To  Pay  For  Long  Term  Care  Insurance?	我 可以 使用 HSA 支付 长期 护理 保险
36	health-insurance	雇主可以向吸烟者收取更多健康保险费吗？	Can  Employers  Charge  Smokers  More  For  Health  Insurance?	雇主 可以 向 吸烟者 收取 更多 健康 保险费
37	home-insurance	房屋所有权保险通常覆盖什么？	What  Does  Home  Owners  Insurance  Usually  Cover?	房屋 所有权 保险 通常 覆盖 什么
38	health-insurance	没有健康保险的超声波成本是多少？	How  Much  Does  An  Ultrasound  Cost  Without  Health  Insurance?	没有 健康 保险 超声波 成本 是 多少
39	life-insurance	什么是10年期人寿保险？	What  Is  10  Yr  Term  Life  Insurance?	什么 是 10 年期 人寿保险
40	retirement-plans	你可以把钱放在一个401K和一个Roth IRA？	Can  You  Put  Money  In  A  401K  And  A  Roth  IRA?	你 可以 把 钱放 在 一个 401 K 和 一个 Roth IRA
41	health-insurance	我可以用丙型肝炎保险吗？	Can  I  Get  Health  Insurance  With  Hepatitis  C?	我 可以 用 丙型肝炎 保险
42	medicare-insurance	什么时候可以注册医疗保险A部分？	When  Can  I  Enroll  In  Medicare  Part  A?	什么 时候 可以 注册 医疗保险 A 部分
43	health-insurance	健康保险何时起源？	When  Did  Health  Insurance  Originate?	健康 保险 何时 起源
44	health-insurance	医疗保险有多重要？	How  Important  Is  Health  Care  Insurance?	医疗保险 有 多 重要
45	renters-insurance	租用保险费用多少？	How  Much  Does  It  Cost  To  Get  Renters  Insurance?	租用 保险费用 多少
46	home-insurance	我的家庭保险是否覆盖盗窃？	Does  My  Home  Insurance  Cover  Theft?	我 家庭 保险 是否 覆盖 盗窃
47	renters-insurance	租户保险如何受益业主？	How  Does  Renters  Insurance  Benefit  The  Landlord?	租户 保险 如何 受益 业主
48	health-insurance	俄亥俄州雇主是否必须提供健康保险？	Do  Ohio  Employers  Have  To  Offer  Health  Insurance?	俄亥俄州 雇主 是否 必须 提供 健康 保险
49	auto-insurance	我应该有多少汽车保险？	How  Much  Auto  Insurance  Should  I  Have?	我 应该 有 多少 汽车保险
50	home-insurance	为什么房主保险增加？	Why  Does  Homeowners  Insurance  Increase?	为什么 房主 保险 增加
51	medicare-insurance	谁能买医保？	Who  Can  Buy  Medicare?	谁 能 买 医保
52	medicare-insurance	如何清除Medicare B部分？	How  To  Remove  Medicare  Part  B?	如何 清除 Medicare B 部分
53	long-term-care-insurance	在什么年龄我应该得到长期护理保险？	At  What  Age  Should  I  Get  Long  Term  Care  Insurance?	在 什么 年龄 我 应该 得到 长期 护理 保险
54	life-insurance	人寿保险死亡福利是否应纳税？	When  Are  Life  Insurance  Death  Benefits  Taxable?	人寿保险 死亡 福利 是否 应纳税
55	medicare-insurance	什么是医疗储蓄计划？	What  Are  Medicare  Savings  Programs?	什么 是 医疗 储蓄 计划
56	home-insurance	房主保险是否向其他狗盖狗叮咬？	Does  Homeowners  Insurance  Cover  Dog  Bites  To  Other  Dogs?	房主 保险 是否 向 其他 狗 盖狗 叮咬
57	medicare-insurance	医疗保险计划盖什么？	What  Does  Medicare  Plan  A  Cover?	医疗保险 计划 盖什
58	life-insurance	全人寿保险是一个好的选择吗？	Is  Whole  Life  Insurance  A  Good  Option?	全 人寿保险 是 一个 好 选择
59	health-insurance	雇主可以提供不同数额的健康保险吗？	Can  Employers  Contribute  Different  Amounts  Health  Insurance?	雇主 可以 提供 不同 数额 健康 保险
60	medicare-insurance	将来会发生什么医疗保险？	What  Will  Happen  To  Medicare  In  The  Future?	将来 会 发生 什么 医疗保险
61	life-insurance	一般人寿保险？	Can  The  General  Life  Insurance?	一般 人寿保险
62	auto-insurance	我的汽车保险是否会如果得到机票呢？	Will  My  Auto  Insurance  Go  Up  If  Get  Ticket?	我 汽车保险 是否 会 如果 得到 机票
63	renters-insurance	租客保险是否包括盗窃？	Does  Renters  Insurance  Include  Theft?	租客 保险 是否 包括 盗窃
64	renters-insurance	什么是租赁保险？	What  Is  A  Renters  Insurance  Policy?	什么 是 租赁 保险
65	home-insurance	如何计算家庭保险？	How  Is  Home  Insurance  Calculated?	如何 计算 家庭 保险
66	home-insurance	房主保险是否覆盖下水道维修？	Does  Homeowners  Insurance  Cover  Sewer  Repair?	房主 保险 是否 覆盖 下水道 维修
67	long-term-care-insurance	AARP是否有长期护理保险？	Does  AARP  Have  Long  Term  Care  Insurance?	AARP 是否 有 长期 护理 保险
68	disability-insurance	短期残疾考虑健康保险吗？	Is  Short  Term  Disability  Considered  Health  Insurance?	短期 残疾 考虑 健康 保险
69	life-insurance	在什么年龄你应该得到人寿保险？	At  What  Age  Should  You  Get  Life  Insurance?	在 什么 年龄 你 应该 得到 人寿保险
70	home-insurance	旅行者家庭保险好吗？	Is  Travelers  Home  Insurance  Any  Good?	旅行者 家庭 保险 好
71	medicare-insurance	谁能得到医疗保险？	Who  Can  Get  On  Medicare?	谁 能 得到 医疗保险
72	renters-insurance	谁有最优惠的租金保险费率？	Who  Has  The  Best  Rates  For  Renters  Insurance?	谁 有 最 优惠 租金 保险费率
73	auto-insurance	谁能驾驶你的车在你的保险？	Who  Can  Drive  Your  Car  Under  Your  Insurance?	谁 能 驾驶 你 车在你 保险
74	medicare-insurance	医疗保险可以支付养老院吗？	Can  Medicare  Pay  For  Nursing  Homes?	医疗保险 可以 支付 养老院
75	auto-insurance	如果汽车保险失败，会发生什么？	What  Happens  If  Car  Insurance  Lapses?	如果 汽车保险 失败 会 发生 什么
76	home-insurance	车库门由房主保险覆盖？	Is  Garage  Door  Covered  By  Homeowners  Insurance?	车库 门 由 房主 保险 覆盖
77	medicare-insurance	我在哪里注册医疗保险？	Where  Do  I  Sign  Up  For  Medicare?	我 在 哪里 注册 医疗保险
78	auto-insurance	如何获得汽车保险最佳交易？	How  To  Get  The  Best  Deal  On  Auto  Insurance?	如何 获得 汽车保险 最佳 交易
79	medicare-insurance	在新泽西州如何申请Medicare Part D？	How  Do  You  Apply  For  Medicare  Part  D  In  New  Jersey?	在 新泽西州 如何 申请 Medicare Part D
80	renters-insurance	哪家公司提供最佳租赁保险？	Which  Company  Offers  The  Best  Renters  Insurance?	哪家 公司 提供 最佳 租赁 保险
81	life-insurance	全人寿保险有哪些特点？	What  Are  Some  Characteristics  Of  Whole  Life  Insurance?	全 人寿保险 有 哪些 特点
82	annuities	什么是年金种现金流？	What  Is  Annuity  Kind  Of  Cash  Flow?	什么 是 年金种 现金流
83	life-insurance	可以在乳腺癌后获得人身保险吗？	Can  You  Get  Life  Insurance  After  Breast  Cancer?	可以 在 乳腺癌 后 获得 人身保险
84	auto-insurance	如何找出多少汽车保险呢？	How  To  Figure  Out  How  Much  Car  Insurance  Will  Be?	如何 找出 多少 汽车保险
85	retirement-plans	如何计划退休与401K？	How  To  Plan  For  Retirement  With  A  401K?	如何 计划 退休 与 401 K
86	health-insurance	什么是不符合奥巴马的健康保险的税收减免？	What  Is  The  Tax  Penalty  For  Not  Having  Health  Insurance  Under  Obamacare?	什么 是 不 符合 奥巴马 健康 保险 税收 减免
87	medicare-insurance	你能失去医疗福利吗？	Can  You  Lose  Medicare  Benefits?	你 能 失去 医疗 福利
88	home-insurance	房主保险是否会损失钻石？	Will  Homeowners  Insurance  Cover  A  Lost  Diamond?	房主 保险 是否 会 损失 钻石
89	long-term-care-insurance	长期护理保险费用多少？	How  Much  Do  Long  Term  Care  Insurance  Policies  Cost?	长期 护理 保险费用 多少
90	life-insurance	何时应该停止支付人寿保险？	When  Should  I  Stop  Paying  For  Life  Insurance?	何时 应该 停止支付 人寿保险
91	medicare-insurance	你去医疗保险什么年龄？	What  Age  Do  You  Go  On  Medicare?	你 去 医疗保险 什么 年龄
92	life-insurance	人寿保险公司如何吸烟？	How  Can  Life  Insurance  Companies  Tell  If  You  Are  A  Smoker?	人寿保险 公司 如何 吸烟
93	long-term-care-insurance	如何确定您是否需要长期护理保险？	How  To  Determine  If  You  Need  Long  Term  Care  Insurance?	如何 确定 您 是否 需要 长期 护理 保险
94	auto-insurance	谁制造汽车保险？	Who  Made  Car  Insurance  Mandatory?	谁 制造 汽车保险
95	life-insurance	什么时候应该得到期限人寿保险？	When  Should  I  Get  Term  Life  Insurance?	什么 时候 应该 得到 期限 人寿保险
96	auto-insurance	信用与汽车保险有什么关系？	What  Does  Credit  Have  To  Do  With  Auto  Insurance?	信用 与 汽车保险 有 什么 关系
97	home-insurance	家庭保险是否支付屋顶更换？	Will  Home  Insurance  Pay  For  Roof  Replacement?	家庭 保险 是否 支付 屋顶 更换
98	auto-insurance	谁拥有最好和最便宜的汽车保险？	Who  Has  The  Best  And  Cheapest  Car  Insurance?	谁 拥有 最好 和 最 便宜 汽车保险
99	auto-insurance	你能租汽车保险吗？	Can  You  Rent  A  Uhaul  With  Car  Insurance?	你 能 租 汽车保险
100	home-insurance	房主保险涵盖什么？	What's  Covered  In  Homeowners  Insurance?	房主 保险 涵盖 什么
101	long-term-care-insurance	我可以为我母亲购买长期护理保险吗？	Can  I  Buy  Long  Term  Care  Insurance  For  My  Mother?	我 可以 为 我 母亲 购买 长期 护理 保险
102	life-insurance	什么是完全实行人寿保险？	What  Is  A  Fully  Paid-Up  Life  Insurance  Policy?	什么 是 完全 实行 人寿保险
103	life-insurance	我可以得到高血压的人寿保险吗？	Can  I  Get  Life  Insurance  With  Hypertension?	我 可以 得到 高血压 人寿保险
104	renters-insurance	如何找到好的租客保险？	How  To  Find  Good  Renters  Insurance?	如何 找到 好 租客 保险
105	auto-insurance	什么是考虑用于保险目的的跑车？	What  Is  Considered  A  Sports  Car  For  Insurance  Purposes?	什么 是 考虑 用于 保险 目的 跑车
106	home-insurance	家庭保险涵盖什么？	What  Is  Covered  Under  Home  Insurance?	家庭 保险 涵盖 什么
107	retirement-plans	为什么现在重新计划退休？	Why  Is  It  Important  To  Plan  For  Retirement  Now?	为什么 现在 重新 计划 退休
108	auto-insurance	为什么要为汽车保险付钱？	Why  Do  Guys  Pay  More  For  Car  Insurance?	为什么 要为 汽车保险 付钱
109	home-insurance	移动家庭保险如何便宜？	How  Cheap  Is  Mobile  Home  Insurance?	移动 家庭 保险 如何 便宜
110	life-insurance	可以在乳腺癌后获得人身保险吗？	Can  I  Get  Life  Insurance  After  Breast  Cancer?	可以 在 乳腺癌 后 获得 人身保险
111	disability-insurance	多少人使用残疾保险？	How  Many  People  Use  Disability  Insurance?	多少 人 使用 残疾 保险
112	auto-insurance	您的汽车保险涵盖谁？	Who  Is  Covered  Under  Your  Auto  Insurance?	您 汽车保险 涵盖 谁
113	medicare-insurance	什么是Medigap计划？	What  Is  A  Medigap  Plan?	什么 是 Medigap 计划
114	health-insurance	如何增加健康保险？	How  To  Add  A  Dependent  To  Health  Insurance?	如何 增加 健康 保险
115	disability-insurance	长期残疾保险多久？	How  Long  Does  Long  Term  Disability  Insurance  Last?	长期 残疾 保险 多久
116	life-insurance	全人寿保险不好吗	Is  Whole  Life  Insurance  Bad?	全 人寿保险 不好
117	auto-insurance	犹他州的平均车险是多少？	What  Is  The  Average  Car  Insurance  Rate  In  Utah?	犹他州 平均 车险 是 多少
118	life-insurance	伟大的西方人寿是否涵盖旅游保险？	Does  Great  West  Life  Cover  Travel  Insurance?	伟大 西方 人寿 是否 涵盖 旅游 保险
119	life-insurance	定期人寿保险在特定年龄结束吗？	Does  Term  Life  Insurance  End  At  A  Certain  Age?	定期 人寿保险 在 特定 年龄 结束
120	home-insurance	房主保险是否覆盖火器？	Does  Homeowners  Insurance  Cover  Firearms?	房主 保险 是否 覆盖 火器
121	retirement-plans	共同基金的资产净值是多少？	What  Is  Net  Asset  Value  Of  A  Mutual  Fund?	共同 基金 资产 净值 是 多少
122	health-insurance	哪些国家有最好的健康保险？	Which  States  Have  The  Best  Health  Insurance?	哪些 国家 有 最好 健康 保险
123	retirement-plans	为什么重要计划退休？	Why  Is  It  Important  To  Plan  For  Retirement?	为什么 重要 计划 退休
124	disability-insurance	多少残疾保险足够了？	How  Much  Disability  Insurance  Is  Enough?	多少 残疾 保险 足够
125	life-insurance	骑手在人寿保险中意味着什么？	What  Does  Rider  Mean  In  Life  Insurance?	骑手 在 人寿保险 中 意味着 什么
126	long-term-care-insurance	你为长期护理保险支付多少钱？	How  Much  Do  You  Pay  For  Long  Term  Care  Insurance?	你 为 长期 护理 保险 支付 多少 钱
127	renters-insurance	我可以要求什么租客保险？	What  Can  I  Claim  On  Renters  Insurance?	我 可以 要求 什么 租客 保险
128	health-insurance	健康保险额定值是多少？	What  Does  Health  Insurance  Rated  Mean?	健康 保险 额定值 是 多少
129	life-insurance	你如何计算人寿保险的期望回报？	How  Would  You  Calculate  The  Expected  Return  On  A  Life  Insurance  Policy?	你 如何 计算 人寿保险 期望 回报
130	auto-insurance	没有驾照吗？	Can  I  Get  Auto  Insurance  Without  A  Driver  License?	没有 驾照
131	medicare-insurance	什么时候是符合医疗保险D部分的人？	When  Is  A  Person  Eligible  For  Medicare  Part  D?	什么 时候 是 符合 医疗保险 D 部分 人
132	auto-insurance	汽车保险是联邦要求吗？	Is  Auto  Insurance  A  Federal  Requirement?	汽车保险 是 联邦 要求
133	auto-insurance	你能得到不良信用的汽车保险吗？	Can  You  Get  Auto  Insurance  With  Bad  Credit?	你 能 得到 不良 信用 汽车保险
134	life-insurance	HIPPA适用于人寿保险公司吗？	Does  HIPPA  Apply  To  Life  Insurance  Companies?	HIPPA 适用 于 人寿保险 公司
135	auto-insurance	DUI后汽车保险费用多少？	How  Much  Does  Auto  Insurance  Cost  After  A  DUI?	DUI 后 汽车 保险费用 多少
136	home-insurance	购买家庭时多少保险？	How  Much  Is  Insurance  When  Buying  A  Home?	购买 家庭 时 多少 保险
137	medicare-insurance	什么是Medigap政策？	What  Is  The  Medigap  Policy?	什么 是 Medigap 政策
138	renters-insurance	租客保险是否涵盖失去的订婚戒指？	Does  Renters  Insurance  Cover  A  Lost  Engagement  Ring?	租客 保险 是否 涵盖 失去 订婚 戒指
139	medicare-insurance	Obamacare覆盖Medigap？	Does  Obamacare  Cover  Medigap?	Obamacare 覆盖 Medigap
140	renters-insurance	全国租赁保险多少？	How  Much  Is  Nationwide  Renters  Insurance?	全国 租赁 保险 多少
141	life-insurance	谁卖出抵押人寿保险？	Who  Sells  Mortgage  Life  Insurance?	谁 卖出 抵押 人寿保险
142	life-insurance	我的人寿保险是否覆盖跳伞？	Does  My  Life  Insurance  Cover  Skydiving?	我 人寿保险 是否 覆盖 跳伞
143	health-insurance	健康保险是否覆盖皮肤清除手术？	Does  Health  Insurance  Cover  Skin  Removal  Surgery?	健康 保险 是否 覆盖 皮肤 清除 手术
144	health-insurance	没有健康保险的皮肤科医生花费多少钱？	How  Much  Does  It  Cost  To  See  A  Dermatologist  Without  Health  Insurance?	没有 健康 保险 皮肤科 医生 花费 多少 钱
145	health-insurance	在哪里得到健康保险与预先存在的条件？	Where  To  Get  Health  Insurance  With  A  Preexisting  Condition?	在 哪里 得到 健康 保险 与 预先 存在 条件
146	life-insurance	是否USAA卖人寿保险？	Does  USAA  Sell  Life  Insurance?	是否 USAA 卖 人寿保险
147	disability-insurance	联邦政府是否有残疾保险？	Does  The  Federal  Government  Have  Disability  Insurance?	联邦政府 是否 有 残疾 保险
148	life-insurance	什么是人寿保险股？	What  Is  A  Life  Insurance  Unit?	什么 是 人寿保险 股
149	disability-insurance	残疾人保险在平均水平上有多大？	How  Much  Is  Disability  Insurance  On  Average?	残疾人 保险 在 平均水平 上有 多 大
150	life-insurance	你可以提交人寿保险吗？	Can  You  Surrender  A  Life  Insurance  Policy?	你 可以 提交 人寿保险
151	life-insurance	人寿保险是否考虑收入？	Is  Life  Insurance  Considered  Income?	人寿保险 是否 考虑 收入
152	disability-insurance	什么时候应该得到残疾保险？	When  Should  I  Get  Disability  Insurance?	什么 时候 应该 得到 残疾 保险
153	renters-insurance	租金保险费用多少？	How  Much  Does  It  Cost  For  Renters  Insurance?	租金 保险费用 多少
154	auto-insurance	新罕布什尔州是否需要汽车保险？	Does  New  Hampshire  Require  Auto  Insurance?	新罕布什尔州 是否 需要 汽车保险
155	disability-insurance	您的工资有多少由残疾保险承担？	How  Much  Of  Your  Salary  Is  Covered  By  Disability  Insurance?	您 工资 有 多少 由 残疾 保险 承担
156	medicare-insurance	哪个药店接受医疗保险？	Which  Pharmacies  Accept  Medicare?	哪个 药店 接受 医疗保险
157	auto-insurance	需要多长时间才能获得汽车保险？	How  Long  Will  It  Take  To  Get  Car  Insurance?	需要 多长时间 才能 获得 汽车保险
158	medicare-insurance	什么是医疗保险？	What  Is  Medicare  Hospice?	什么 是 医疗保险
159	life-insurance	如何确定期限人寿保险的现金价值？	How  Do  You  Determine  Cash  Value  Of  Term  Life  Insurance  Policy?	如何 确定 期限 人寿保险 现金 价值
160	life-insurance	人寿保险为您的葬礼付钱吗？	Does  Life  Insurance  Pay  For  Your  Funeral?	人寿保险 为 您 葬礼 付钱
161	health-insurance	你的健康保险可以让孩子多久？	How  Long  Can  You  Keep  A  Child  On  Your  Health  Insurance?	你 健康 保险 可以 让 孩子 多久
162	health-insurance	健康保险税何时可以扣除？	When  Is  Health  Insurance  Tax  Deductible?	健康 保险 税 何时 可以 扣除
163	annuities	Suze Orman对可变年金说什么？	What  Does  Suze  Orman  Say  About  Variable  Annuities?	Suze Orman 对 可变 年金 说什么
164	health-insurance	可以用Fsa支付健康保险费吗？	Can  I  Pay  Health  Insurance  Premiums  With  Fsa?	可以 用 Fsa 支付 健康 保险费
165	medicare-insurance	沃尔玛是否接受医疗保险？	Does  Walmart  Take  Medicare?	沃尔玛 是否 接受 医疗保险
166	auto-insurance	汽车保险可以转移吗？	Can  Auto  Insurance  Be  Transferred?	汽车保险 可以 转移
167	auto-insurance	什么是SR22保险？	What  Does  SR22  Insurance  Cover?	什么 是 SR 22 保险
168	auto-insurance	没有工作可以得到汽车保险吗？	Can  I  Get  Car  Insurance  Without  A  Job?	没有 工作 可以 得到 汽车保险
169	health-insurance	你经常支付健康保险吗？	How  Often  Do  You  Pay  Health  Insurance?	你 经常 支付 健康 保险
170	life-insurance	受益人何时收到人寿保险？	When  Does  The  Beneficiary  Collect  From  A  Life  Insurance  Policy?	受益人 何时 收到 人寿保险
171	auto-insurance	如果我没有汽车保险我可以租车吗？	If  I  Don't  Have  Auto  Insurance  Can  I  Rent  A  Car?	如果 我 没有 汽车保险 我 可以 租车
172	medicare-insurance	医疗保险支付救护车吗？	Does  Medicare  Pay  For  Ambulance  Rides?	医疗保险 支付 救护车
173	home-insurance	何时需要家庭保修保险？	When  Is  Home  Warranty  Insurance  Required?	何时 需要 家庭 保修 保险
174	home-insurance	家庭保险是否覆盖您的烟囱？	Does  Home  Insurance  Cover  Your  Chimney?	家庭 保险 是否 覆盖 您 烟囱
175	life-insurance	我需要多少人寿保险？	How  Much  Life  Insurance  Do  I  Need?	我 需要 多少 人寿保险
176	home-insurance	财产保险与房主保险相同吗？	Is  Property  Insurance  The  Same  As  Homeowners  Insurance?	财产保险 与 房主 保险 相同
177	life-insurance	当你年轻时，人寿保险是否更便宜？	Is  Life  Insurance  Cheaper  To  Buy  When  You  Are  Younger?	当 你 年轻时 人寿保险 是否 更 便宜
178	disability-insurance	Aflac是否提供短期残疾保险？	Does  Aflac  Offer  Short  Term  Disability  Insurance?	Aflac 是否 提供 短期 残疾 保险
179	disability-insurance	长期残疾是否涵盖医疗保险？	Does  Long  Term  Disability  Cover  Medical  Insurance?	长期 残疾 是否 涵盖 医疗保险
180	home-insurance	失去使用意味着什么是房主保险？	What  Does  Loss  Of  Use  Mean  For  Homeowners  Insurance?	失去 使用 意味着 什么 是 房主 保险
181	auto-insurance	汽车保险是否在您的信用报告上？	Does  Car  Insurance  Go  On  Your  Credit  Report?	汽车保险 是否 在 您 信用 报告 上
182	auto-insurance	如何驾驶没有保险的新车？	How  To  Drive  A  New  Car  Home  Without  Insurance?	如何 驾驶 没有 保险 新车
183	auto-insurance	为什么汽车保险在俄亥俄州那么昂贵？	Why  Is  Auto  Insurance  So  Expensive  In  Ohio?	为什么 汽车保险 在 俄亥俄州 那么 昂贵
184	disability-insurance	我需要南卡罗来纳州的残疾保险吗？	Do  I  Need  Disability  Insurance  In  South  Carolina?	我 需要 南卡罗来纳州 残疾 保险
185	renters-insurance	一个公寓大楼可否要求您将其作为您的租客保险的共同保单持有人？	Can  an  apartment  complex  require  you  to  add  them  as  a  co-policy  holder  on  your  renter's  insurance?	一个 公寓 大楼 可否 要求 您 将 其 作为 您 租客 保险 共同 保单 持有人
186	medicare-insurance	什么是医疗保险要花费我？	What  Is  Medicare  Going  To  Cost  Me?	什么 是 医疗保险 要 花费我
187	medicare-insurance	被医疗保险部分D覆盖的Hyoscyamine是吗？	Is  Hyoscyamine  Covered  By  Medicare  Part  D?	被 医疗保险 部分 D 覆盖 Hyoscyamine 是
188	long-term-care-insurance	长期护理保险的平均成本是多少？	How  Much  Does  Long  Term  Care  Insurance  Cost  On  Average?	长期 护理 保险 平均 成本 是 多少
189	medicare-insurance	医疗保险支付IVF多少钱？	How  Much  Does  Medicare  Pay  For  IVF?	医疗保险 支付 IVF 多少 钱
190	medicare-insurance	医疗保险和医疗补助金有什么区别？	What  Is  The  Difference  In  Medicare  And  Medicaid?	医疗保险 和 医疗 补助金 有 什么 区别
191	life-insurance	人寿保险支付多少？	How  Much  Will  Life  Insurance  Payout?	人寿保险 支付 多少
192	disability-insurance	为什么需要残疾保险？	Why  Do  You  Need  Disability  Insurance?	为什么 需要 残疾 保险
193	health-insurance	健康保险何时成为强制性	When  Does  Health  Insurance  Become  Mandatory?	健康 保险 何时 成为 强制性
194	auto-insurance	结婚影响汽车保险？	Does  Getting  Married  Affect  Auto  Insurance?	结婚 影响 汽车保险
195	medicare-insurance	医疗保险费用会在2014年上涨吗？	Will  The  Cost  Of  Medicare  Go  Up  In  2014?	医疗保险 费用 会 在 2014年 上涨
196	auto-insurance	汽车保险多久？	How  Long  Does  Car  Insurance  Last?	汽车保险 多久
197	home-insurance	AAA家庭保险好吗？	Is  AAA  Home  Insurance  Any  Good?	AAA 家庭 保险 好
198	auto-insurance	我可以保险金从汽车事故吗？	Can  I  Keep  Insurance  Money  From  Car  Accident?	我 可以 保险金 从 汽车 事故
199	auto-insurance	你可以去没有汽车保险的监狱吗？	Can  You  Go  To  Jail  For  Having  No  Car  Insurance?	你 可以 去 没有 汽车保险 监狱
200	health-insurance	您可以作为房地产经纪人获得健康保险吗？	Can  You  Get  Health  Insurance  As  A  Real  Estate  Agent?	您 可以 作为 房地产 经纪人 获得 健康 保险
201	medicare-insurance	什么时候开放注册Medigap政策？	When  Is  Open  Enrollment  For  Medigap  Policies?	什么 时候 开放注册 Medigap 政策
202	medicare-insurance	何时使用医疗保险？	When  To  Use  Medicare?	何时 使用 医疗保险
